nome_imagem,minimo,maximo,media,std,var,mediana,assimetria,curtose,amplitude_ao_quadrado,entropia_completa,entropia_dos_bins,energia_media,rms,desvio_absoluto_medio,p925,p850,p150,p75,amplitude_interquartil,uniformidade,media_robusta,rotulo
57.jpg,0.0,253.0,71.34151005244755,83.3391725440362,6945.417680324637,30.0,0.6657535717272506,-1.1553969414764034,64009.0,5.22573865086278,2.3594695697415062,12035.028736888113,109.70427857147648,75.05468339596851,214.0,186.0,0.0,0.0,151.0,0.2938303100759053,54.74586808188021,0
60.jpg,0.0,255.0,59.90783435314685,69.39533797384397,4815.7129325040305,27.0,0.6596748035501204,-1.1277995798545954,65025.0,5.110950340011872,2.2039007433466202,8404.661549388113,91.67694120872551,62.413276537676424,179.0,155.0,0.0,0.0,124.0,0.31157195312165714,46.68057649399988,0
61.jpg,0.0,255.0,68.4838013548951,79.22645307857465,6276.830867411591,27.0,0.6517380305899492,-1.1348174706486065,65025.0,5.2215950026877564,2.305587833052015,10966.861915428322,104.72278603736783,71.45265956850494,205.0,177.0,0.0,0.0,139.0,0.3037375614715267,52.77411444141689,0
62.jpg,0.0,255.0,74.13764750874125,83.20253518155029,6922.661860637114,35.0,0.5529012696952824,-1.2887987641120753,65025.0,5.223691583259733,2.38199515757375,12419.052638767482,111.44080329380026,75.80886100005318,211.0,186.0,0.0,0.0,152.0,0.28413918145542716,58.42043150664205,0
65.jpg,0.0,254.0,70.18135380244755,81.69946200693835,6674.802092223163,30.0,0.6618866327580982,-1.1481356396135844,64516.0,5.219692237077476,2.348546771662183,11600.224513767482,107.70433841664635,73.56276580991126,210.0,185.0,0.0,0.0,146.0,0.293588311009153,54.1267183431236,0
66.jpg,0.0,255.0,56.18736341783217,64.67413058911886,4182.7431674583995,26.0,0.6342314858356155,-1.1814641808325597,65025.0,5.031685580229893,2.100146208416327,7339.762975305944,85.67241665382122,58.39837547241432,166.0,146.0,0.0,0.0,116.0,0.3224822581674226,43.61419015043739,0
68.jpg,0.0,253.0,74.84096372377623,83.43619356294985,6961.598396274035,34.0,0.524335862427434,-1.3286671085470474,64009.0,5.203542910564521,2.3599171135273744,12562.768247377622,112.08375550175691,76.54348735034225,212.0,186.0,0.0,0.0,152.0,0.28759252844920596,59.15714588441861,0
69.jpg,0.0,255.0,72.95268793706293,83.0291211300267,6893.834955624646,31.0,0.5760239892518558,-1.2890210542120881,65025.0,5.18249067651141,2.339263444055234,12215.929632867133,110.52569670835436,75.66317976013688,210.0,189.0,0.0,0.0,153.0,0.291970440610253,57.34946578286268,0
71.jpg,0.0,255.0,77.07962740384616,85.66902626339852,7339.182060918865,39.0,0.5232755783323195,-1.3286914141635808,65025.0,5.214695321141012,2.4053421042926884,13280.451021634615,115.24083920917366,78.25698169628224,218.0,192.0,0.0,0.0,158.0,0.27984718980518225,60.83111569120722,0
74.jpg,0.0,253.0,69.71271306818181,80.82507524619277,6532.692788552723,27.0,0.6378322264386698,-1.1891573801905713,64009.0,5.210522235573036,2.3015751253546637,11392.55515187937,106.73591313086412,73.3193022381782,207.0,181.0,0.0,0.0,144.0,0.3034791492635833,53.640117725590144,0
